"customer_id","monthly_charges","contract","internet_type","payment_method","online_security","premium_tech_support","paperless_billing"
"6710-HSJRD","114.10","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"2587-EKXTS","111.50","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"7130-YXBRO","111.45","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"6168-YBYNP","111.35","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"2067-QYTCF","111.15","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"3174-RKMOW","109.95","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"1656-DRSMG","109.85","Month-to-Month","Fiber Optic","Credit Card","No","Yes","Yes"
"4176-FXYBO","109.55","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","No"
"7537-CBQUZ","109.40","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"2027-WKXMW","108.75","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"2144-BFDSO","108.75","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","No"
"1074-AMIOH","108.25","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"1110-KYLGQ","108.25","Month-to-Month","Fiber Optic","Credit Card","Yes","No","No"
"2081-VEYEH","107.95","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"5760-IFJOZ","107.95","Month-to-Month","Fiber Optic","Mailed Check","No","No","No"
"1833-TCXKK","107.75","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","Yes"
"0114-PEGZZ","107.55","Month-to-Month","Fiber Optic","Bank Withdrawal","No","No","No"
"8800-ZKRFW","107.50","Month-to-Month","Fiber Optic","Bank Withdrawal","No","Yes","Yes"
"2615-YVMYX","107.50","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
"4010-YLMVT","106.60","Month-to-Month","Fiber Optic","Credit Card","Yes","No","Yes"
"8535-SFUTN","106.45","Month-to-Month","Fiber Optic","Bank Withdrawal","Yes","No","Yes"
